"x","y"
264558.41021379,258641.82559141
235661.49271529,257833.16133418
234113.30342963,248752.08418058
243490.22187109,244991.18582848
130574.32017625,243332.91941246
240628.36977248,242824.76069892
240539.55080283,237927.5076242
264802.8319804,235471.76126231
216148.28099922,234708.16937272
217843.83668763,234045.75197318
191534.73970464,230732.45481599
159954.45052351,272406.44010797
141354.528499,270950.92606137
122755.78065461,269901.36002486
243937.80067904,267714.03144302
184480.17200372,267281.89989108
152654.85566952,266585.32965201
220869.10850692,263643.51571148
231809.82770288,256853.19120021
242649.950050206,254570.31572312
320156.085125045,253308.819324181
320156.085125045,253308.819324181
238285.20365524,245287.73133695
241565.29267305,244690.8674244
129152.73563422,238797.62443026
259247.12749075,231557.09430134
188877.77704912,225093.69370307
141472.74365437,221894.55300778
153627.62939556,272378.77396531
200206.26961358,271674.35111297
140412.6049703,270591.1282157
214033.66633849,270403.33217729
149166.52752217,268460.79050878
127494.33469915,268003.33238887
194816.8974655,266581.48700441
201141,264319
228624.1774947,264033.75149439
220321.63284012,263523.97891789
235211.75120431,259576.41831592
161343.28890986,259109.74765309
223171.74824825,256450.43083057
241068.99564043,242725.72180255
127221.99740719,241181.93659967
123393.58038402,229699.96239009
202565.57673969,225795.49863439
162455.04255253,223436.99728948
196798.104649069,222759.985471812
156102.92662,266207.44821639
233423.3579335,262676.19508336
233971.90759475,262534.55234934
234682.047464916,260676.184185404
256215.39550758,259838.22073942
125148.4773713,258849.91694648
239006.93814831,255927.25587419
127051.67095626,246641.2442207
258560.62469942,237629.89139333
200542.48924631,223346.40107379
121856.51456134,221498.96225419
128890.69563894,274430.13629572
115679.17826493,258999.58131586
130597.96954116,257944.85475955
265728.59708351,237282.3084869
195471.64100154,225988.41690801
195274.83535167,223117.10078537
196832.60403088,222844.32928711
238793.37419165,268791.0931233
127163.12857042,267042.59095258
212824.82485203,264360.11883708
233265.91556209,262446.78435782
228883.23319317,261206.96550743
237741.9870019,259092.46451129
127964.69978628,237334.94542398
181396.51442164,219108.3267433
135931.07772861,271155.56662799
142237.04012669,267657.35067087
165622.7575539,266716.56052432
233462.96708991,264623.13096684
233394.84289552,262944.26004036
259284.6660337,259802.27138817
133303.63642033,259272.58908716
206147.66947549,259016.3288316
285007.4541181,258850.71100654
224887.62056469,257567.95941931
124341.41813227,255463.08349161
244406.59492994,242479.76333325
174023.62818602,231429.21179558
266578.25810343,229629.95566194
157670.18754364,225458.34499399
182950.60806633,220466.09473862
193727.29268875,219501.51211402
181098.97132678,217780.16335985
134754.52839427,215981.12154034
126148.94930324,267215.50364732
252118.55968195,260195.01664966
227696.32279322,259681.43769034
227058.22124166,256399.09617868
227302.51907072,255641.96940684
221218.28881298,255075.98646437
255949.5818649,244832.26157216
245356.14396573,243891.69785307
241188.31165285,242429.68239884
227913.94979977,239728.08512301
202858.55902755,239287.95476405
258963.25072906,237709.57211383
268312.67913511,237329.13195183
230170.22379549,233034.4571161
192472.532338449,231343.491151366
194544.85030867,230463.2674814
120181.69417622,223750.89488313
120462.02342464,222734.32056503
222079.94309219,216530.57876919
128569.89004425,273575.30410181
134491.32874918,272312.25184774
214326.4484422,270260.54173013
239289.0956526,268156.16130554
235223.9860112,263945.82934364
122203.96605346,262269.43822661
248802.5526525,261569.40790536
246972.33109772,261372.46530041
246681.52801169,261247.04950532
234183.24046783,260973.08746504
234183.24046783,260973.08746504
238797.27675694,260047.8841441
225862.11035896,259878.31660221
237165.82694823,259860.16907011
113141.49013377,259497.23515588
265963.40060494,257711.19402217
236070.79024253,254056.61823768
218138.979122,247593.47743406
241607.78009717,242409.44956944
241607.78009717,242409.44956944
229122.62649067,239670.70775802
234722.56593122,238453.90410908
229796.03068673,233560.194101
239414.72131113,232882.04554915
138245.53105453,232537.22822458
127777.65457197,221822.15134767
205310.63330765,219574.23670542
127897.37691275,273401.24243929
129681.40541947,271310.95797369
191664.10334458,267864.67479202
238936.005195749,267525.77249296
