"x","y"
216932.78320669,267460.87493523
216920.76275923,267438.95443619
216896.71831509,267395.11028531
216882.65810066,267369.46639916
216866.55082761,267340.09275359
196745.40715873,266991.30030182
211886.1252585,264105.32292975
207396.40507262,263260.8351306
245534.48225476,261345.3016756
237734.08833535,260704.40095372
228350.85916059,259309.61230752
225811.21586388,259157.07493478
278670.30651665,257607.33935318
237957.1885815,246021.90248543
219622.10052921,241458.26674312
253277.84611859,239905.74506703
262071.43578215,233104.02156609
122641.71332636,232584.64797155
232065.26201677,223118.14935853
240824.03478187,213400.08509406
167115.01085522,270983.84332963
208687.71090173,267654.09859653
216911.11234493,267512.19964974
216897.58535276,267486.11906773
216886.16599164,267465.2945831
216874.86678916,267444.68932157
216863.56761964,267424.08400438
216849.86441493,267399.09457474
216833.75706864,267369.72106023
234861.34520487,264524.46689659
229269.93049054,263160.27745251
218001.56533676,262763.69411343
209669.99490588,261967.58913626
242857.56736475,259546.04958565
236985.12600929,259364.07695324
117209.48273357,259261.17411409
241565.10861785,244690.55184344
220587.27160353,234906.25232952
267201.3564015,234247.71734839
128253.69657963,233322.27142632
136373.88456466,230467.31315009
206936.96322323,227298.83641195
121624.3088351,223373.38737895
174705.86847552,218144.36965538
119955.43303984,215185.71285657
125927.96654771,269917.96143707
155476.13581234,268576.96088203
188685.37778219,266942.63655333
237935.02412657,265246.8749959
248370.28835896,262005.48668246
234398.45013507,260314.17861893
118885.24759312,259677.70204123
225850.10206711,258358.04611186
235298.81023296,252145.1206006
241807.94504022,251979.24311935
184375.40649589,250001.90020079
135614.91761989,242943.15353782
245274.8364866,241504.51963997
275160.76806263,239813.33749135
198050.42990069,235730.8762893
133416.1428,224135.8866
