"x","y"
192005.43031944,267289.54915539
241349.51545464,264208.34919936
146865.2176161,255874.89847737
121010.47196984,252959.91852594
127521.43394644,249235.60543074
272574.97565232,245179.38515706
216921.6078,236101.297
193123.8121991,233625.41617333
253385.48732348,231895.3679536
181421.7079935,225329.79777874
131206.07864424,222608.771181
239956.25908526,217278.00445143
242015.37233048,216162.19994031
125727.10224179,267965.7704628
239357.49002034,267628.35116253
239063.85355145,265575.27483508
189309.71615201,263093.75987538
240508.59202945,262538.73486844
249368.27056229,262086.45866494
120277.77776304,261572.58566169
120946.53694919,258874.58132666
139705.38073087,257231.70945212
252608.51808543,246962.57567878
253379.78428021,240149.04705616
213868.0582006,232431.50661419
213627.73152924,227382.55686298
152108.68513267,221049.48192086
178036.6874329,220980.76523552
124386.092661,217622.22566429
128336.46265849,272785.84409664
161756.91063202,272313.72101714
209326.09326152,266990.11939919
239469.44064513,265554.00116071
214018.7148685,262661.33291135
254504.42421061,261530.4882867
251712.66538693,260455.97953349
270193.70763548,259560.21552954
200876.56527358,258076.73476194
320336.12306495,253440.17091326
226252.23820753,251643.15833959
230889.7181898,247356.51848387
256758.71261187,237920.48804098
266114.2634963,234308.51289359
227626.46526544,230327.28521443
209293.5492978,227583.86354344
221083.93288126,226072.36248115
119695.09419409,216216.81884378
125155.50943864,240363.28735378
160379.59298221,270917.86551602
214660.18028502,270411.1431747
166535.56165178,269562.96333218
247791.78414144,266587.08670966
240497.90762284,264860.03182339
177536.8777419,264323.27574967
166431.86214779,260328.94656623
284493.21938197,256358.48806134
233891.2277513,253567.07359085
237957.1885815,246021.90248543
235060.59121653,218617.89654814
241312.24984756,268482.80058921
191591.97165143,268184.83130576
138293.60660461,268061.86769204
237935.02412657,265246.8749959
231224.25104331,261691.12780051
120672.18230344,259802.28410073
120672.18230344,259802.28410073
238198.36196283,259238.91410706
226702.97146558,256327.40462323
239191.31212445,256144.96687494
203959.05712071,246478.38800461
241848.4978718,243475.18126559
250741.92365541,243338.37661107
125131.09330874,240271.64790978
258273.00855983,237489.79696172
170168.71006571,235197.93133409
168116.04286702,233309.09291666
139792.5842128,230280.14053408
214218.1923,227326.694
182420.96272639,226593.55078333
240097.57374408,218399.40269025
234148.26990434,217206.42942612
234367.09819828,214200.12947092
163780.53293296,270794.53614729
240828.05040527,268251.52124345
216932.78320669,267460.87493523
216920.76275923,267438.95443619
216896.71831509,267395.11028531
216882.65810066,267369.46639916
216866.55082761,267340.09275359
196745.40715873,266991.30030182
211886.1252585,264105.32292975
207396.40507262,263260.8351306
245534.48225476,261345.3016756
237734.08833535,260704.40095372
228350.85916059,259309.61230752
225811.21586388,259157.07493478
278670.30651665,257607.33935318
237957.1885815,246021.90248543
219622.10052921,241458.26674312
253277.84611859,239905.74506703
262071.43578215,233104.02156609
122641.71332636,232584.64797155
232065.26201677,223118.14935853
240824.03478187,213400.08509406
167115.01085522,270983.84332963
208687.71090173,267654.09859653
216911.11234493,267512.19964974
216897.58535276,267486.11906773
216886.16599164,267465.2945831
216874.86678916,267444.68932157
216863.56761964,267424.08400438
216849.86441493,267399.09457474
216833.75706864,267369.72106023
234861.34520487,264524.46689659
229269.93049054,263160.27745251
218001.56533676,262763.69411343
209669.99490588,261967.58913626
242857.56736475,259546.04958565
236985.12600929,259364.07695324
117209.48273357,259261.17411409
241565.10861785,244690.55184344
220587.27160353,234906.25232952
267201.3564015,234247.71734839
128253.69657963,233322.27142632
136373.88456466,230467.31315009
206936.96322323,227298.83641195
121624.3088351,223373.38737895
174705.86847552,218144.36965538
119955.43303984,215185.71285657
125927.96654771,269917.96143707
155476.13581234,268576.96088203
188685.37778219,266942.63655333
237935.02412657,265246.8749959
248370.28835896,262005.48668246
234398.45013507,260314.17861893
118885.24759312,259677.70204123
225850.10206711,258358.04611186
235298.81023296,252145.1206006
241807.94504022,251979.24311935
184375.40649589,250001.90020079
135614.91761989,242943.15353782
245274.8364866,241504.51963997
275160.76806263,239813.33749135
198050.42990069,235730.8762893
133416.1428,224135.8866
123853.62150363,223851.74878832
196873.69007098,222793.47785635
189176.66249155,221767.39168523
153468.91492702,220438.9291968
228368.52253185,213229.8468185
114418.17317222,253587.62303004
237957.1885815,246021.90248543
150170.52807952,268444.54289037
252315.29170255,250565.51388634
165216.02151857,249355.66866267
254319.22996183,243336.83203219
234115.88137486,216035.05393672
136841.32910845,273526.24487856
203060.84348246,271920.72442562
148535.13203213,265308.34151041
221630.50151792,263562.98880032
245147.64313056,262724.69922144
243974.74359026,259430.55835349
251050.34604194,259370.65259804
238055.41991439,256414.61438975
242433.76773817,256345.79271045
228922.52054453,256307.35718602
261930.23136774,241661.18400951
266156.78499256,230734.2094991
120194.55179825,222645.69110108
209628.02996436,270025.91051024
238006.5419566,268953.79628642
211322.05341671,264310.6569765
243534.41453977,263070.08666153
248361.42404352,262026.37107478
232657.235482628,261726.353964847
235251.55879879,258531.10412199
232360.50805175,258472.36898545
227937.3341628,257897.56395395
126148.48157829,257360.66119473
230044.88208787,255319.77065557
153581.36081505,253362.67836182
242584.19047329,246594.21648886
141378.01032227,246532.74994695
237957.1885815,246021.90248543
240349.13928528,243988.56731697
264564.49197544,231572.99601988
266681.42613727,229696.69093694
122299,229173
183015.19861885,220663.32176182
226770.32319066,214990.07064647
152857.23846567,272134.58733825
172911.83290724,271424.92914162
169667.32753979,270085.20055322
126795.06657807,269214.89691715
233947.09710262,265717.31058871
238026.66036584,264996.38190326
224369.70079386001,260009.72957797
200741.85134144,256036.52046829
238342.45026916,255890.23818159
238069.87370197,255109.13147732
237957.1885815,246021.90248543
234604.8592543,232568.40241244
125118.54592469,222032.3698016
127110.58314871,271583.68224707
141012.61625526,269706.76397805
136887.82539457,269313.61525807
239472.38117132,268430.53152543
237957.1885815,246021.90248543
122360.99463042,244014.98600303
205072.82718598,242729.33987126
241588.41192515,242710.80242955
196390.6386214,235516.27337685
265896.44376305,234645.59438068
266114.2634963,234308.51289359
128290.8744031,233538.57139501
170288.1321777,232983.64860015
266461.5347107,228311.33525071
170172.46575001,223973.54505954
161793.1948797,223042.05486532
120297.07618366,222696.13178067
244432.73759045,220960.03456164
153240.44224973,219492.50806113
209708.13480554,218492.13686667
215149.00137349,216258.28784467
119564.15149952,216053.54996308
236412.15120107,269965.67791537
148331.52198128,267739.00386048
170139.61500723,267170.78189396
259319.77000753,265961.48156208
235223.80435149,263945.50825535
243990.11893613,263082.12610522
254576.21449356,262378.90863634
215710.72816078,261305.50372803
262544.64778459,260439.03308657
273750.43421446,259789.81421495
285289.19388675,259157.12705112
210604.93350301,257229.61393931
134158.22683902,255067.68735901
279698.79031592,252838.16802558
124717.86004854,250927.52097983
214616.87654966,242804.59342983
