"x","y"
121015.740045863,217095.76935345
125739.964271897,273126.586481277
147085.398796839,270610.064284714
169150.964491407,270605.90896317
137212.646069045,268422.391796003
205880.609232307,267621.020905019
242774.820008285,267615.021967123
221722,264092
221878,262744
227491.896943882,262299.100085051
229076.464821738,259543.807417887
224347.578646896,259308.278942785
225486.658372937,258561.071642186
114350.812778015,257747.544597528
116338.26796892,256986.531111328
254710.697290054,243496.135761679
266297.081909346,240575.463478871
180583.350329998,219729.851666894
258933.824676972,219217.058086064
123669.972845129,268061.502563234
213606,267162
231201.168517231,232647.203580727
158528.679355924,272444.406217742
230968.66047600601,268276.18188582
122995.033420146,244766.795143144
126761.976255776,273923.394439436
178499.319611233,268466.295918032
185397.254524075,265930.824473835
185397.254524075,265930.824473835
185397.254524075,265930.824473835
124223.73567021,263075.486266349
285673.314662861,259509.643684064
171408.358659812,247935.552913435
122316.817000229,243764.852735267
264384.617612872,233801.347064961
219950.27566777,233647.616675488
236919.306264205,233452.405834081
229170.202477022,232421.270131596
216370.005447627,270104.846073113
126201.631548777,267180.911388374
230565.522367939,260826.276763905
256019.752187688,260322.981978555
229408.638503799,238712.733874471
264435.453085233,234987.888595872
239903.781501252,227391.396767113
182819.055882158,220327.1967734
182184.049803486,219876.29977722
117461.633255004,216306.037255653
145889.220649964,272222.674954916
169203.466370428,270432.426869562
184285.499290091,265077.112899745
241508.921340468,249723.680342872
202025.814637833,245157.884216067
241568.364268942,244694.882945218
192596.74390711,231793.791196361
240565.665850706,249068.574504113
240403.056509948,241818.164581232
265559.333721629,240424.175501345
261366.35187934,237137.609777943
266671.674870142,232192.37630493
266594.184239202,229752.891188725
124674.046825697,228208.688643944
136322.075211995,227293.775774787
122715.179235228,217178.814408869
119850.728768738,216789.749995417
211944.894511786,270950.790217173
258163.594837971,260057.70988539
214222.538697122,256139.819764609
227049.814713287,255814.515168993
217552.894546234,247670.396622732
242937.125839759,246044.018652931
242134.786007491,244330.618935915
124722.582732147,240755.605869925
264384.617612872,233801.347064961
265544.026468355,263660.54454317
138793.924310839,268112.468727188
228625.776917251,264036.631534975
256436.381109556,259550.359874888
232214.724381766,231171.100768036
228582.877282226,263603.287100293
242902.71018206,255623.793845479
210395.862233691,246144.503106349
203806.089614046,220455.279632946
126552.154335001,262424.065049455
112405.6587686,257051.164212745
235298.436181771,255998.133543567
241532.761561938,242621.900289614
